0	0
66	66
132	132
198	198
264	264
330	330
396	396
462	462
528	528
594	594
660	660
726	726
792	792
858	858
924	924
1014	948
1056	990
1122	1056
1188	1122
1254	1188
1320	1254
1386	1320
1452	1386
1518	1452
1584	1518
1650	1584
1716	1650
1782	1716
1848	1782
1914	1848
1980	1914
2046	1980
2112	2046
2178	2112
2244	2178
2310	2244
2376	2310
2442	2376
2508	2442
2574	2508
2640	2574
2706	2640
2772	2706
2838	2772
2904	2838
2970	2904
3036	2970
3102	3036
3168	3102
3258	3126
3300	3168
3366	3234
3432	3300
3498	3366
3564	3432
3630	3498
3696	3564
3762	3630
3828	3696
3894	3762
3960	3828
4026	3894
4092	3960
4158	4026
4224	4092
4290	4158
4356	4224
4422	4290
4488	4356
4554	4422
4620	4488
4686	4554
4752	4620
4818	4686
4884	4752
4950	4818
5016	4884
5082	4950
5148	5016
5214	5082
5280	5148
5346	5214
5412	5280
5544	5412
5634	5436
5676	5478
5742	5544
5808	5610
5874	5676
5940	5742
6006	5808
6072	5874
6138	5940
6204	6006
6270	6072
6336	6138
6402	6204
6468	6270
6600	6402
6666	6468
6732	6534
6798	6600
6864	6666
6930	6732
6996	6798
7013	6815
7062	6864
7128	6930
7194	6996
7260	7062
7326	7128
7392	7194
7458	7260
7524	7326
7590	7392
7656	7458
7722	7524
7788	7590
7854	7656
7920	7722
7986	7788
8052	7854
8118	7920
8184	7986
8250	8052
8316	8118
8382	8184
8448	8250
8514	8316
8580	8382
8646	8448
8712	8514
8778	8580
8910	8646
8976	8712
9042	8778
9108	8844
9174	8910
9240	8976
9306	9042
9372	9108
9438	9174
9504	9240
9570	9306
9636	9372
9702	9438
9768	9504
9834	9570
9900	9636
9966	9702
10032	9768
10098	9834
10164	9900
10230	9966
10296	10032
10362	10098
10428	10164
10494	10230
10560	10296
10626	10362
10692	10428
10758	10494
10824	10560
10890	10626
10956	10692
11022	10758
11088	10824
11154	10890
11220	10956
11286	11022
11352	11088
11418	11154
11484	11220
11550	11286
11616	11352
11682	11418
11748	11484
11814	11550
11880	11616
11946	11682
12012	11748
12078	11814
12144	11880
12210	11946
12276	12012
12342	12078
12408	12144
12474	12210
12540	12276
13662	13332
